source	name	description
Drugs	OPE	Opium
Drugs	PIN YEN	Opium
Drugs	TOXY	Opium
Drugs	ZERO	Opium
Drugs	ANGEL DUST	PCP (Phencyclidine)
Drugs	BELLADONNA	PCP (Phencyclidine)
Drugs	BLACK WHACK	PCP (Phencyclidine)
Drugs	CJ	PCP (Phencyclidine)
Drugs	CLIFFHANGER	PCP (Phencyclidine)
Drugs	CRYSTAL JOINT	PCP (Phencyclidine)
Drugs	DETROIT PINK	PCP (Phencyclidine)
Drugs	ELEPHANT TRANQUILIZER	PCP (Phencyclidine)
Drugs	HOG	PCP (Phencyclidine)
Drugs	MAGIC	PCP (Phencyclidine)
Drugs	PETER PAN	PCP (Phencyclidine)
Drugs	SHEETS	PCP (Phencyclidine)
Drugs	SOMA	PCP (Phencyclidine)
Drugs	TAC	PCP (Phencyclidine)
Drugs	TRANK	PCP (Phencyclidine)
Drugs	WHITE HORIZON	PCP (Phencyclidine)
Drugs	ZOOM	PCP (Phencyclidine)
Drugs	BOOMERS	Psilocybin/psilocin
Drugs	GOD’S FLESH	Psilocybin/psilocin
Drugs	LITTLE SMOKE	Psilocybin/psilocin
Drugs	MAGIC MUSHROOM	Psilocybin/psilocin
Drugs	MEXICAN MUSHROOMS	Psilocybin/psilocin
Drugs	MUSHROOMS	Psilocybin/psilocin
Drugs	MUSK	Psilocybin/psilocin
Drugs	SHERM	Psilocybin/psilocin
Drugs	SHROOMS	Psilocybin/psilocin
Drugs	SILLY PUTTY	Psilocybin/psilocin
Drugs	SIMPLE SIMON	Psilocybin/psilocin
Drugs	CRACKERS	Ritalin
Drugs	ONE AND ONES	Ritalin
Drugs	PHARMING	Ritalin
Drugs	POOR MAN’S HEROIN	Ritalin
Drugs	R-BALL	Ritalin
Drugs	RITZ ANTS	Ritalin
Drugs	SET	Ritalin
Drugs	SKIPPY	Ritalin
Drugs	SPEEDBALL	Ritalin
Drugs	TS AND RITZ	Ritalin
Drugs	TS AND RS	Ritalin
Drugs	VITAMIN R	Ritalin
Drugs	WEST COAST	Ritalin
Drugs	CIRCLES	Rohypnol
Drugs	FORGET-ME PILL	Rohypnol
Drugs	LA ROCHA	Rohypnol
Drugs	LUNCH MONEY DRUG	Rohypnol
Drugs	MEXICAN VALIUM	Rohypnol
Drugs	PINGUS	Rohypnol
Drugs	R2	Rohypnol
Drugs	REYNOLDS	Rohypnol
Drugs	ROCHE	Rohypnol
Drugs	ROOFIES	Rohypnol
Drugs	ROPE	Rohypnol
Drugs	RUFFLES	Rohypnol
Drugs	WOLFIES	Rohypnol
Drugs	ABOLIC	Steroids
Drugs	ANADROL	Steroids
Drugs	ARNOLDS	Steroids
Drugs	BOLASTERONE	Steroids
Drugs	DIHYDROLONE	Steroids
Drugs	EQUIPOSE	Steroids
Drugs	GYM CANDY	Steroids
Drugs	JUICE	Steroids
Drugs	METHYL TESTOSTERONE	Steroids
Drugs	PROVIRON	Steroids
Drugs	PUMPERS	Steroids
Drugs	STACKERS	Steroids
Drugs	THEROBOLIN	Steroids
Drugs	WEIGHT TRAINERS	Steroids
Drugs	WINSTROL V	Steroids
