name_source	name	source	type	name1	name2	descr1	descr2	descr3	description
Ἑρμῆς, Hērmēs	Hermes	Greek	Deity			Hermes	Ἑρμῆς, Hērmēs	 God of boundaries, travel, communication, trade, language, and writing. Hermes was also responsible for protecting livestock and presided over the spheres associated with fertility, music, luck, and deception. [9] The son of Zeus and Maia, Hermes is the messenger of the gods, and a psychopomp who leads the souls of the dead into the afterlife. He was depicted either as a handsome and athletic beardless youth, or as an older bearded man. His attributes include the herald's wand or caduceus, winged sandals, and a traveler's cap. His sacred animals include the tortoise. His Roman counterpart is Mercury.	Hermes (Ἑρμῆς, Hērmēs) God of boundaries, travel, communication, trade, language, and writing. Hermes was also responsible for protecting livestock and presided over the spheres associated with fertility, music, luck, and deception. [9] The son of Zeus and Maia, Hermes is the messenger of the gods, and a psychopomp who leads the souls of the dead into the afterlife. He was depicted either as a handsome and athletic beardless youth, or as an older bearded man. His attributes include the herald's wand or caduceus, winged sandals, and a traveler's cap. His sacred animals include the tortoise. His Roman counterpart is Mercury.
	Teuthras	Greek	mythological figures			Teuthras			Teuthras — a young man of Argos, son of Iphiclus; he was shot to death by the Amazon Hippolyta during the Parthian War.[4]
Εὐρυάλη	Euryale	Greek	Sea deities			Euryale	Εὐρυάλη		Euryale (Εὐρυάλη)
	Nausicaa	Greek	mythological figures			Nausicaa			Nausicaa — A Phaeacian princess who aided Odysseus.
Στύξ	Styx	Greek	Chthonic deities			Styx	Στύξ	, the river of hatred and oaths	Styx (Στύξ), the river of hatred and oaths
τὰ Νείκη	The Neikea	Greek	Spirits			The Neikea	τὰ Νείκη	, spirits of quarrels, feuds and grievances	The Neikea (τὰ Νείκη), spirits of quarrels, feuds and grievances
Περσεύς	Perseus	Greek	Heroes			Perseus	Περσεύς	, son of Zeus and the founder-king of Mycenae and slayer of the Gorgon Medusa	Perseus (Περσεύς), son of Zeus and the founder-king of Mycenae and slayer of the Gorgon Medusa
Αἰδώς	Aidos	Greek	Spirits			Aidos	Αἰδώς	, spirit of modesty, reverence and respect	Aidos (Αἰδώς), spirit of modesty, reverence and respect
Καλλιόπη	Calliope	Greek	Other deities			Calliope	Καλλιόπη	, muse of epic poetry	Calliope (Καλλιόπη), muse of epic poetry
		Greek	mythological figures						Eunostus, a Boeotian hero
		Greek	Kings						Cinyras, a king of Cyprus and father of Adonis
Ἀλθαιμένης	Althaemenes	Greek	mythological figures			Althaemenes	Ἀλθαιμένης	 — son of Catreus, king of Crete; it was prophesied he would kill his own father.	Althaemenes (Ἀλθαιμένης) — son of Catreus, king of Crete; it was prophesied he would kill his own father.
Ἀβία	Abia	Greek	mythological figures			Abia	Ἀβία	 — nursemaid of Glenus, a son of Heracles.	Abia (Ἀβία) — nursemaid of Glenus, a son of Heracles.
		Greek	Kings						Odysseus, a hero and king of Ithaca whose adventures are the subject of Homer's Odyssey; he also played a key role during the Trojan War
Ὕπνος (Hypnos)	Hypnos	Greek	Ancient Greek name						The personification of sleep.
Τριτεια	Triteia	Greek	Sea deities			Triteia	Τριτεια	, daughter of Triton and companion of Ares	Triteia (Τριτεια), daughter of Triton and companion of Ares
	Hyperenor	Greek	mythological figures			Hyperenor			Hyperenor — The name of several mythological figures.
	Ucalegon	Greek	mythological figures			Ucalegon			Ucalegon — An elder of Troy.
		Greek	Kings						Aeëtes, a king of Colchis and father of Medea
		Greek	Kings						Teucer, founder-king of Salamis who fought alongside the Greeks in the Trojan War
Σελήνη (Selḗnē)	Selene	Greek	The Twelve Titans						Titaness of the moon.
Σελήνη	Selene	Greek	Sky deities			Selene	Σελήνη	, Titan goddess of the moon	Selene (Σελήνη), Titan goddess of the moon
	Leucus	Greek	mythological figures			Leucus			Leucus — The name of several mythological figures.
Κλάδεος	Cladeus	Greek	Rustic deities			Cladeus	Κλάδεος		Cladeus (Κλάδεος)
Καρμάνωρ	Carmanor	Greek	Agricultural deities			Carmanor	Καρμάνωρ	, a Cretan harvest god	Carmanor (Καρμάνωρ), a Cretan harvest god
		Greek	Kings						Peleus, king of the Myrmidons and father of Achilles; he sailed with the Argonauts and participated in the Calydonian Boar hunt
Ταράξιππος	Taraxippus	Greek	Other deities			Taraxippus	Ταράξιππος	, ghost that frightened horses	Taraxippus (Ταράξιππος), ghost that frightened horses
	Phorcys	Greek	mythological figures			Phorcys			Phorcys — A Phrygian ally of Priam in the Trojan War.
	Themisto	Greek	mythological figures			Themisto			Themisto — Third wife of Athamas.
Ουπις	Oupis	Greek	Rustic deities			Oupis	Ουπις	, represented aim	Oupis (Ουπις), represented aim
Δάμυσος	Damysus	Greek	Gigantes			Damysus	Δάμυσος	, the fastest of all the Giants in the Greek mythology.	Damysus (Δάμυσος), the fastest of all the Giants in the Greek mythology.
	Troezen	Greek	mythological figures			Troezen			Troezen — A son of Pelops and eponym of the city Troezen.
	Botres	Greek	mythological figures			Botres			Botres — A son of Eumelus, transformed into a bee-eater.
		Greek	Seers/oracles						Theoclymenus, an Argive seer
Κασσιόπεια	Cassiopeia	Greek	Notable women			Cassiopeia	Κασσιόπεια	, queen of Æthiopia and mother of Andromeda	Cassiopeia (Κασσιόπεια), queen of Æthiopia and mother of Andromeda
	Briseus	Greek	mythological figures			Briseus			Briseus — father of Briseis.
Φοβήτωρ	Phobetor	Greek	Spirits			Phobetor	Φοβήτωρ	 or Icelos (Ἴκελος), spirit of nightmares, who takes shape of animals	Phobetor (Φοβήτωρ) or Icelos (Ἴκελος), spirit of nightmares, who takes shape of animals
Εὐθενία	Euthenia	Greek	Spirits			Euthenia	Εὐθενία	, spirit of prosperity, abundance, and plenty	Euthenia (Εὐθενία), spirit of prosperity, abundance, and plenty
Κευθόνυμος	Keuthonymos	Greek	Chthonic deities			Keuthonymos	Κευθόνυμος	, an Underworld spirit and father of Menoetes	Keuthonymos (Κευθόνυμος), an Underworld spirit and father of Menoetes
Υπάτη	Hypate	Greek	Other deities			Hypate	Υπάτη	 "the upper (chord of the lyre)"	Hypate (Υπάτη) "the upper (chord of the lyre)"
Πειθώ	Peitho	Greek	Spirits			Peitho	Πειθώ	, spirit of persuasion and seduction	Peitho (Πειθώ), spirit of persuasion and seduction
